Name,Address,Food Type,Price Range,Smile Score,Cry Score,Promotions,Contact,Opening Hours,URL
Burger's Friend Forever (嘉峯匯)(Under Renovation),Burger's Friend Forever (嘉峯匯)(Under Renovation),Kowloon City / Western / American / $51-100,$51-100,110,3,N/A,70741852 (WhatsApp),11:00 - 22:30,https://www.openrice.com/en/hongkong/r-burgers-friend-forever-kowloon-city-western-hamburger-r747444
Poach,Poach,Mong Kok / Japanese / Western / $101-200,$101-200,754,52,mediaItemThumbnail,92209785,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-poach-mong-kok-western-r657974
Kedai Kopi Semua Semua,Kedai Kopi Semua Semua,Mong Kok / Malaysian / Food Wise Eateries / $51-100,$51-100,445,19,"mediaItemThumbnail, ",23893829,11:30 - 22:30,https://www.openrice.com/en/hongkong/r-kedai-kopi-semua-semua-mong-kok-malaysian-r660279
CHICHA San Chen (Shanghai Street),CHICHA San Chen (Shanghai Street),Mong Kok / Taiwan / Taiwanese Drink / Below $50,Below $50,108,5,N/A,23677366,12:00 - 21:00,https://www.openrice.com/en/hongkong/r-chicha-san-chen-mong-kok-taiwan-taiwanese-drink-r683562
Dignity Kitchen,Dignity Kitchen,Mong Kok / Singaporean / Certified Halal Food / $51-100,$51-100,90,6,N/A,25612633,11:00 - 20:00,https://www.openrice.com/en/hongkong/r-dignity-kitchen-mong-kok-singaporean-certified-halal-food-r658692
中華海鮮菜館,中華海鮮菜館,Mong Kok / Guangdong / Shunde / $51-100,$51-100,1,0,N/A,23321136,N/A,https://www.openrice.com/en/hongkong/r-%E4%B8%AD%E8%8F%AF%E6%B5%B7%E9%AE%AE%E8%8F%9C%E9%A4%A8-mong-kok-guangdong-chinese-bbq-r691531
CAMPSITE (K11 ATELIER),CAMPSITE (K11 ATELIER),Quarry Bay / Western / Brunch / $101-200,$101-200,82,9,,37058248,11:00 - 22:00,https://www.openrice.com/en/hongkong/r-campsite-quarry-bay-western-brunch-r655652
Ruby Tuesday Bar and Grill (K11 ATELIER),Ruby Tuesday Bar and Grill (K11 ATELIER),Quarry Bay / American / $201-400,$201-400,25,5,mediaItemThumbnail,36130028,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-ruby-tuesday-bar-and-grill-quarry-bay-american-r655368
% Arabica (K11 ATELIER),% Arabica (K11 ATELIER),Quarry Bay / Western / Coffee Shop / Below $50,Below $50,4,0,N/A,21318836,08:30 - 19:00,https://www.openrice.com/en/hongkong/r-arabica-quarry-bay-western-r670208
Grove,Grove,Quarry Bay / Western / Below $50,Below $50,2,0,N/A,24149766,07:30 - 21:00,https://www.openrice.com/en/hongkong/r-grove-quarry-bay-western-r863759
